txn_id,user_id,raw_description,amount,currency,timestamp,channel,counterparty_ref,txn_type,true_merchant_id,true_merchant_name,true_category,true_intent,is_ambiguous,is_in_directory,is_recurring_instance,corruption_ops,expected_counterparty_id,mark_for_correction,is_golden
T000042,U0069,STC PAY TRANSFER,-4221.5,SAR,2025-12-23T16:38:19,wallet,CP-U0069-BENEFICIARY1,transfer,,,transfer,remittance,True,False,False,"[""known_template""]",beneficiary:1,False,True
T000054,U0070,APPLEPAY *NANADIRECT_76369,-100.15,SAR,2025-12-19T18:40:11,pos,,purchase,M0019,Nana Direct,groceries,,False,False,False,"[""known_pattern"", ""prefix_inject"", ""id_inject""]",,False,True
T000078,U0002,STARBUCKS RYD,-24.26,SAR,2026-03-07T22:38:16,ecom,,purchase,M0331,Starbucks,food,,False,True,False,"[""known_pattern"", ""city_code""]",,False,True
T000204,U0016,تموينات الرياض,-104.11,SAR,2026-03-28T14:33:30,pos,,purchase,M0006,Ryd Mart,groceries,,False,True,False,"[""arabic_base""]",,False,True
T000537,U0054,BANK TRANSFER,-89.86,SAR,2025-10-21T18:09:59,wallet,CP-U0054-ONE-6e222,transfer,,,food,personal,True,False,False,"[""known_template""]",unknown,False,True
T001096,U0036,POS JED_GOVERNMENT_OFFICE_60815,-367.4,SAR,2025-08-31T16:49:46,sadad,,purchase,M0457,Jed Government Office,government,,False,False,False,"[""uppercase"", ""space_symbol"", ""prefix_inject"", ""id_inject""]",,False,True
T001211,U0027,MADA نادي حائل,-45.93,SAR,2026-04-14T18:15:09,ecom,,purchase,M0008,Hail Club,entertainment,,False,False,False,"[""arabic_base"", ""prefix_inject""]",,False,True
T001227,U0018,STC PAY TRANSFER,200.0,SAR,2025-09-15T12:13:24,wallet,CP-U0018-ONE-6fc87,transfer,,,transfer,gift,True,False,False,"[""known_template""]",unknown,False,True
T001349,U0025,TIFB* SA,-52.39,SAR,2026-03-11T11:14:22,ecom,,purchase,M0418,Tif Bistro,food,,False,False,False,"[""known_pattern"", ""city_code""]",,False,True
T001371,U0022,مولـّانو,-56.48,SAR,2025-08-22T14:47:46,ecom,,purchase,M0021,Molano,food,,False,True,False,"[""arabic_base"", ""arabic_noise""]",,False,True
T001461,U0138,WALLET TRANSFER REF348309,-133.0,SAR,2026-04-18T20:09:51,transfer,CP-U0138-FRIEND2,transfer,,,transfer,split,True,False,False,"[""known_template"", ""id_inject""]",friend:2,False,True
T001653,U0110,STC PAY TRANSFER,19101.51,SAR,2026-01-25T10:52:00,wallet,CP-U0110-EMPLOYER2,transfer,,,income,salary,True,False,True,"[""known_template""]",employer,True,True
T001902,U0048,SALARY TRANSFER - SOLUTIONS LLC,16234.22,SAR,2026-04-15T07:53:00,transfer,CP-U0048-EMPLOYER,income,,,income,,False,False,True,"[""known_template""]",employer,False,True
T001933,U0041,بنده,-122.46,SAR,2026-05-17T12:42:01,pos,,purchase,M0287,Panda,groceries,,False,True,False,"[""known_pattern""]",,False,True
T002142,U0059,MAD STORE#55232,-168.57,SAR,2025-11-19T09:13:12,pos,,purchase,M0463,Mad Store,groceries,,False,False,False,"[""uppercase"", ""id_inject""]",,False,True
T002269,U0055,STC PAY TRANSFER,-100.0,SAR,2025-11-04T14:32:41,wallet,CP-U0055-ONE-e5547,transfer,,,transfer,gift,True,False,False,"[""known_template""]",unknown,False,True
T002325,U0041,YANBU MOBILE SHOP 9457,-91.91,SAR,2025-12-11T16:05:00,ecom,,purchase,M0076,Yanbu Mobile Shop,telecom,,False,True,True,"[""uppercase"", ""id_inject""]",,False,True
